,0
0,ADAM10
1,Bcl-2
2,CD10
3,CD107a
4,CD13
5,CD138
6,CD14
7,CD1a
8,CD2
9,CD25
10,CD271
11,CD3
12,CD36
13,CD4
14,CD44
15,CD45
16,CD45RA
17,CD45RO
18,CD5
19,CD56
20,CD6
21,CD63
22,CD66abce
23,CD7
24,CD71
25,CD8
26,CD9
27,CD95
28,Collagen IV
29,Cytokeratin-14
30,EBF-P
31,EGFR
32,EGFR-AF488
33,HLA-ABC
34,HLA-DR
35,KIP1
36,Ki67
37,L302
38,MCSP
39,Melan-A
40,Nestin-AF488
41,Notch-1
42,Notch-3
43,PPARgamma
44,PPB
45,RIM3
46,TAP73
47,Vimentin
48,p63
49,phospho-Connexin
