,ADAM10-FITC,ADAM10-PE,CD14-FITC,CD14-PE,CD4-FITC,CD4-PE,HLA-ABC-PE,HLA-DR-PE,Notch-1-FITC,Notch-2-PE,Notch-3-PE,anti-Goat IgG-AF488,anti-Rabbit IgG-AF488,CD83-AF488,CD83-FITC,CD83-PE,CK2-A1-FITC,CK2-A2-FITC,Notch-4-PE,beta-Catenin-FITC,beta-Tubulin-FITC,CD138-FITC,CD138-PE
Melanoma_01_201801261128_1,90.74859048543289,61.3978922109341,71.37625247892849,9.627942914168912,42.357222558912305,114.58576503244831,59.6297612861845,21.469941242396235,74.72788191705769,73.38465701648494,34.2806021819482,,,,,,,,,,,,
Melanoma_01_201801261128_2,90.64645617588384,79.08918298249354,70.82865582404544,6.383266901160124,42.72855622489762,118.50724181081858,48.85155306896013,17.33817618637417,79.56470678659164,87.24064514513088,45.48055090901411,,,,,,,,,,,,
Melanoma_01_201801261128_3,105.61112131549454,89.3401534357286,76.57788673003425,6.62030575170345,45.01037319230984,117.11040599912974,75.74262951572615,36.79550227339475,95.54625196816363,99.95401544670807,47.242466218306795,,,,,,,,,,,,
Melanoma_02_201802161126_1,85.55761795967119,90.49345533410407,,,,,83.15906224553842,79.84321974381213,65.9951568195458,89.50097683779582,74.21322738564024,,,,,,,,,,,,
Melanoma_02_201802161126_2,85.2201055220557,50.88711605461648,,,,,69.0360045025887,52.120977849503134,74.39508840652168,53.818330761501294,63.56347603972572,,,,,,,,,,,,
Melanoma_02_201802161126_3,92.85993206827355,55.745822778344746,,,,,114.63020010195652,49.0015401525026,84.43370419445996,67.40178286403538,88.28349586133128,,,,,,,,,,,,
Melanoma_02_201802161126_4,104.57248882947428,42.02322948763409,,,,,9.642900957782338,11.897163143207662,87.81794081217507,64.82694918184309,97.92493008905971,,,,,,,,,,,,
Melanoma_03_201803281110_1,99.6936479022789,104.35916051866207,,,,,108.93321995008256,107.59835833298136,98.93327741112937,101.12361958429634,103.27181751746669,,,,,,,,,,,,
Melanoma_03_201803281110_2,82.91245490290065,78.03834960086672,,,,,82.197292504231,55.32322919296205,90.67267781247268,78.17794556621723,68.67019249941802,,,,,,,,,,,,
Melanoma_03_201803281110_3,91.92181908905087,109.50485447621554,,,,,82.66398547856213,97.16723399218726,82.79766320165095,59.7024426347216,57.54479604275102,,,,,,,,,,,,
Melanoma_04_201804301352_1,101.13168279341231,104.95070357859542,,,,,105.58156202699,74.50326766730741,83.93975651249754,100.68537154705766,99.83122069854953,,,,,,,,,,,,
Melanoma_04_201804301352_2,95.8743236048998,93.19895813790848,,,,,100.16853767038182,42.8453846010288,69.25123001018584,83.56705237598973,74.68131710541695,,,,,,,,,,,,
Melanoma_04_201804301352_3,90.11445577512988,93.86740691555977,,,,,99.72284793646085,31.66454191758809,76.88911712329373,89.45065495770965,58.441209736749826,,,,,,,,,,,,
Melanoma_05_201807051047_1,95.86431384143305,86.07124457680676,,,,,72.8603347867213,70.6692863829106,78.33069004332661,86.66178452402117,60.10724416819487,,,,,,,,,,,,
Melanoma_05_201807051047_2,102.5710888917483,75.70221475501458,,,,,109.90364273569588,85.87019132072989,94.34178665548222,82.17681893680366,54.89196512851139,,,,,,,,,,,,
Melanoma_05_201807051047_3,90.55762458979197,113.6598583511528,,,,,80.28341138868126,40.533754927161986,113.7281132346051,58.09904025318221,59.60081737111291,,,,,,,,,,,,
Melanoma_05_201807051047_4,101.80096942188294,97.22448557629501,,,,,72.00436261947723,52.49036447001761,111.01085178880659,67.84368262446701,80.63903486068398,,,,,,,,,,,,
Melanoma_06_201808230902_1,110.05178075221913,111.345799597478,,,,,101.05367131888327,94.57900697488706,110.12191785329458,5.623495822041665,106.36925745593916,,,,,,,,,,,,
Melanoma_06_201808230902_2,116.42685208740758,110.61476002400595,,,,,76.15353026920255,42.841046537554476,107.95945632027315,109.76837304693831,112.9479427471881,,,,,,,,,,,,
Melanoma_06_201808230902_3,113.56652172076681,35.6768353893256,,,,,93.2974746115486,91.62230313698026,102.48476226351342,6.782167627133794,108.89318384293588,,,,,,,,,,,,
Melanoma_07_201905161343_1,91.27020296027526,95.11802106119258,,,,,94.9955828661963,84.83642706228679,93.24847040657865,,110.49418194623021,89.25474053636204,92.35204885465892,,,,,,,,,,
Melanoma_07_201905161343_2,108.7388756395611,111.04162070601456,,,,,111.7407843776674,107.88176210930172,112.67059055222522,,109.15466500209708,97.2663849929426,99.23181726208425,,,,,,,,,,
Melanoma_08_201905241311_1,53.03260423286556,105.4127166698917,,,,,87.89431391018985,105.74335293557192,83.81719062628612,,87.41335340704718,,,,,,,,,,,,
Melanoma_08_201905241311_2,110.8646777613962,97.11700861719254,,,,,103.6837844925895,102.67601914778884,87.40944875702425,,93.95277512300102,,,,,,,,,,,,
Melanoma_09_201905291344_1,106.83643442908766,108.67408560811958,,,,,107.67656920225404,112.11852224921199,107.73989618704209,,89.99371636441501,,,,,,,,,,,,
Melanoma_09_201905291344_2,105.17974208339022,72.43452117267682,,,,,115.04680030370865,57.65470846622224,94.47529469659094,,94.98654208260443,,,,,,,,,,,,
Melanoma_10_201905291345_1,103.95615010004116,105.86876044244023,,,,,103.88852041242298,107.9172393945079,109.15798129029027,,108.40320048208345,,,,,,,,,,,,
Melanoma_10_201905291345_2,93.64132691799571,99.54341059306677,,,,,85.27615361646077,81.16896519039251,108.32831596896514,,109.21378382466621,,,,,,,,,,,,
