Unnamed: 0,B-cells,Basal keratinocytes,Endothelial cells,Fibroblasts,Granulocytes,Langerhans cells,Macrophages,Melanocytes,Smooth muscle cells,Suprabasal keratinocytes,T-cells,nan
B-cells,4.190713911213121,10.090210199914663,-0.9817267167361274,-4.085969193975214,2.574539921477193,0.4073730260233284,-3.6439369673666957,-2.0338658637132405,-3.30535221416748,1.1654964385276114,-5.505822800556068,-3.4191641760346294
Basal keratinocytes,10.45103857968925,6.461976008786734,1.3275451252970818,-2.6609562690949162,-5.066014900546898,0.17270117634738602,-5.428142977208487,-5.922367115407833,-1.8529337616993216,4.787889569222563,-4.646762209961455,-0.3948942867364961
Endothelial cells,-0.32401898805643575,0.7699907516025687,-0.6867759816379654,2.8108108353173518,3.017237651212809,1.0666658465205399,0.01837725347927836,-1.9472100068267555,-2.286066773166501,2.040444035730282,-2.3255262081574823,0.359940752072192
Fibroblasts,-4.84195706839589,-2.140894496830261,2.5464222638258662,-4.416182036725869,3.2129008634368805,-2.4517946649856097,-7.402582251522337,5.40679659431846,0.6683489793170666,5.26439607034573,-3.0245490581305123,0.2980872313643735
Granulocytes,-0.6204900350856845,-6.863129493761306,1.239546754374692,1.1140073701775202,19.712210946799495,-5.364118776112864,-10.124324116848932,1.5517840871323896,-7.598604894814408,-0.8047714888747564,-9.453963511631596,-6.014202311168991
Langerhans cells,2.6168456835784863,3.222089315276651,2.01594636927638,-0.9331028044976168,2.8290329596288366,-0.0068910298925201246,-1.9196101085261343,-1.7512697159442283,-3.9752119567536552,2.204440243862163,-3.854975307792475,1.1182472642354675
Macrophages,0.030504607406111012,2.720222070708413,3.0245084532030755,-2.9206178130044704,4.392128449576556,1.8011897020829182,2.7174377698342647,-6.519298293459598,-9.445055388257087,0.4581183174961763,-5.437988131290091,4.813447694738401
Melanocytes,1.3854357338642502,2.745348786641825,2.719808992565015,11.92076296817053,14.324899228801838,-0.05884066952903699,-8.95005086383666,-12.793930388786952,4.79397760316741,7.6621109431262076,-5.825851521667366,0.4531164160484738
Smooth muscle cells,1.0548945075778509,3.7586268151496633,2.3195831717411513,6.056405295054496,4.247348431498122,-3.0412501962895817,-12.222516733812656,5.2508682209186075,2.3734070272318335,6.867855218163542,-10.766819696346843,-3.9517650969576743
Suprabasal keratinocytes,0.16692486717054691,3.9475835025130883,-0.6750513796713302,2.437038253760855,0.3037454473393161,-0.6165457479402839,-3.435788779799006,0.9919515831314073,-2.040106868155984,3.479585573479411,-6.1160405273010845,-2.4597110011393513
T-cells,-1.8678331500598213,0.9697559858071818,-0.25296481442561053,0.8784630983135114,4.3405287789570215,0.391359352510982,-1.9034643167877008,1.9798672219552753,-5.7033721989772586,-1.2865510773409217,-6.151483670264322,6.757648038336158
